new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,1,0,0,40,256,8,101700.6
5,0,1,0,1,90,64,10,300736.6
2,0,1,1,1,100,2048,8,102662.8
4,0,1,0,1,60,1024,8,39613.2
3,0,1,0,0,0,1,10,48214.2
2,1,1,0,0,60,64,8,101390.2
4,0,1,1,1,0,2048,0,35417.4
5,0,1,0,1,80,1,6,47218.8
1,0,1,0,1,80,16,10,95256.2
3,1,1,0,0,80,64,0,12139.4
4,0,0,0,0,50,4,10,158823.6
3,1,1,0,0,40,64,0,11980.8
3,1,1,0,0,0,16,0,15950.0
3,1,1,1,0,40,128,0,12293.0
4,0,1,0,0,20,32,0,9125.6
3,1,1,0,1,20,4,0,12884.2
4,0,0,0,1,0,32,0,11885.4
4,0,1,0,0,60,32,0,9026.2
4,0,0,0,0,20,2048,8,41720.6
5,1,1,0,0,50,128,8,121536.6
1,0,0,0,0,60,2048,10,101942.0
3,0,1,0,0,50,1,0,14322.0
4,1,1,0,0,100,32,0,8917.6
4,0,0,0,0,100,32,0,8945.4
4,1,1,0,1,100,256,0,8895.0
3,1,0,1,0,10,4096,4,12532.2
3,1,1,0,1,90,1024,0,12065.2
4,1,0,0,0,90,2,4,15456.2
3,1,1,0,0,90,256,0,12093.4
4,1,0,0,1,100,512,0,8915.6
3,0,1,1,0,30,4096,10,48627.6
5,0,1,0,0,90,512,0,9124.4
4,0,1,0,1,70,1024,4,12922.8
3,0,1,0,1,70,512,0,12129.8
4,1,1,1,1,80,256,0,35869.6
1,1,1,0,1,60,256,4,11775.8
3,1,1,0,0,100,4,0,12818.4
5,0,0,0,1,80,128,4,9192.8
5,1,1,0,1,100,256,8,122440.2
3,0,1,0,1,90,2,0,13013.0
1,1,1,1,0,0,4096,8,131765.4
4,1,1,0,1,90,4096,8,39465.8
4,1,1,0,1,100,128,4,12746.6
4,1,1,0,0,70,1024,8,39323.6
4,0,1,0,1,90,128,2,8916.8
1,1,0,1,0,10,8,0,17763.4
4,1,1,0,1,70,256,0,8888.6
3,1,1,0,1,70,2048,0,12199.6
4,1,1,0,1,60,2,0,9526.4
4,1,1,0,1,30,512,2,8988.2
2,0,1,1,0,90,1024,8,103136.6
4,0,1,0,1,70,64,10,114347.6
3,0,1,0,1,70,64,0,12277.6
5,1,1,0,1,50,256,2,9184.6
4,1,0,0,1,60,512,6,19377.0
3,1,0,1,1,70,4096,0,12271.0
4,1,0,0,1,30,32,4,13235.4
2,1,0,1,1,70,16,0,17662.4
4,1,1,0,0,80,1024,6,19463.6
5,1,0,1,0,20,64,8,122651.4
3,0,0,1,1,30,128,0,12077.6
1,1,1,1,1,70,256,10,103033.4
4,1,1,0,1,40,1024,2,8959.0
3,1,1,0,1,70,32,0,12332.0
4,0,1,0,1,50,64,0,8933.6
2,0,0,0,0,20,1,10,83570.8
4,1,1,1,0,70,128,2,35940.0
5,1,0,0,0,50,1024,0,9148.0
4,1,1,0,1,10,256,4,13932.0
3,1,1,0,1,80,16,0,12334.0
2,1,0,0,0,30,2048,2,4851.0
3,1,0,1,0,60,4096,0,12076.2
3,1,0,0,0,30,1024,10,48589.4
3,1,0,0,1,30,1024,2,12014.0
2,1,0,0,0,10,2048,2,5743.2
5,1,1,0,0,100,16,8,121435.0
2,1,0,0,1,40,2048,4,4595.4
2,0,0,1,1,40,512,4,11938.6
1,1,0,0,1,40,512,0,17725.0
1,1,0,0,0,40,64,6,89821.2
1,1,0,1,1,40,4096,6,91055.4
2,1,1,0,1,50,512,4,4526.8
4,1,1,0,0,20,512,8,41740.2
2,1,1,0,1,80,1024,2,4690.0
2,1,1,0,0,80,512,4,4305.8
2,0,0,1,1,10,1024,0,17751.0
2,1,1,1,0,80,4096,4,11862.6
2,0,1,1,0,90,512,6,90991.6
2,1,1,1,1,100,512,8,102778.0
3,1,0,0,1,80,512,0,12201.6
3,1,1,1,0,100,2,8,39155.0
3,0,1,0,0,10,1024,10,50631.0
4,1,1,0,1,70,512,4,12874.8
2,1,1,0,0,60,32,10,100038.6
3,1,1,0,0,80,2048,10,48598.0
3,1,0,1,1,50,256,10,48686.6
3,1,1,0,1,10,32,4,12420.6
2,1,0,0,1,30,2,0,7484.0
4,1,0,0,1,0,256,2,11893.8
1,1,1,0,0,60,1024,4,11717.2
