ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,76730.0
0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,90275.6
0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,77903.8
0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,77650.6
0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,79324.8
1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,78259.2
1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,89603.6
1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,79255.2
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,77713.6
0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,87752.6
0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,79696.0
1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,92638.4
0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,75543.8
0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,72534.4
0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,86505.4
0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,62502.4
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,69532.4
0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,60250.0
0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,60876.2
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,58201.8
0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,59976.4
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,57873.6
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,57596.4
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56807.2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53380.6
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,54945.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,56946.6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53756.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887.2
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57203.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,55447.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55081.4
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,59857.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,57330.6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53862.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53839.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,55959.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,57104.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,58903.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,57031.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56400.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55845.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,57104.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53879.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53727.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56378.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,55795.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57468.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
