fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,1,0,128,32,256,132344.8
1,1,0,0,0,128,8,4096,137327.0
0,1,0,0,1,128,32,4096,46213.6
1,0,0,1,1,256,32,1024,135168.4
1,1,0,0,1,64,8,1024,134931.8
1,1,1,1,0,64,2,256,128226.2
0,0,0,1,1,128,8,4096,46615.8
0,1,1,0,1,64,8,4096,46694.0
0,0,0,0,0,64,32,256,46471.2
1,0,1,0,1,64,32,256,134956.0
1,0,0,0,1,256,2,1024,130366.8
0,1,0,0,1,128,2,256,47040.2
0,0,0,1,0,64,32,4096,46264.2
1,1,0,1,0,128,32,1024,134356.6
1,1,0,0,1,256,32,4096,134608.6
1,0,1,1,0,64,32,256,140165.6
1,1,0,0,1,128,32,4096,133873.0
1,1,0,0,1,64,8,4096,133183.8
0,1,0,0,1,128,32,1024,46405.0
1,1,0,1,1,128,32,1024,129568.0
1,0,1,0,1,128,2,1024,135485.6
0,0,0,0,1,256,2,256,46214.2
0,1,1,0,1,128,32,4096,46577.6
0,1,0,0,1,128,32,1024,46405.0
1,1,0,1,1,128,8,4096,126456.8
1,1,1,1,0,256,8,4096,129630.8
1,1,0,0,1,64,2,4096,136458.4
0,1,1,0,1,256,2,4096,46381.4
0,1,1,0,1,64,32,4096,46412.4
0,1,1,1,1,128,32,4096,46787.2
0,1,1,0,0,128,2,256,46183.8
1,0,1,1,1,128,32,4096,136977.2
0,1,0,0,0,64,2,256,46500.4
0,1,1,1,1,256,2,4096,46885.8
0,0,1,0,0,128,2,256,46293.4
1,1,0,1,1,64,32,4096,130741.8
0,1,1,1,0,256,2,256,46517.2
0,1,1,1,0,128,2,256,46517.8
0,1,0,0,0,128,2,256,46022.8
0,1,0,1,1,128,2,256,46367.0
1,0,0,0,0,256,2,4096,132200.2
1,1,0,1,1,128,2,256,130923.0
0,1,0,0,0,256,2,256,46440.0
1,1,0,0,0,256,2,256,133900.6
1,0,0,1,0,128,2,256,132275.4
1,1,0,1,0,256,2,4096,129499.4
0,1,1,0,0,256,2,256,46407.8
0,1,0,0,1,128,8,256,46673.2
0,1,0,0,1,64,2,1024,46267.8
0,0,0,1,0,128,2,256,46486.8
0,1,0,0,1,256,32,1024,46191.2
0,0,0,0,0,128,8,256,46204.0
1,1,0,0,1,128,2,1024,130383.4
0,1,0,0,0,64,32,1024,46224.0
0,1,1,0,0,128,32,4096,46145.8
1,1,0,1,1,256,32,256,132261.2
0,1,0,1,0,256,8,4096,46431.0
0,1,0,0,1,128,8,1024,46124.2
0,1,1,0,0,128,8,1024,46539.2
0,0,0,1,1,256,8,256,46222.8
1,0,1,0,1,256,2,256,135600.2
1,1,0,0,0,256,8,256,133404.8
1,1,0,0,0,128,8,256,125404.4
0,1,0,0,1,128,32,256,46355.2
0,1,0,1,1,64,2,256,46400.6
0,0,0,1,0,64,2,1024,46287.8
1,0,0,0,0,64,8,256,134959.4
0,0,0,1,1,128,8,256,46472.4
0,1,0,1,0,128,2,256,46584.8
0,0,0,0,1,128,32,256,46035.0
0,0,1,0,0,64,2,256,46097.4
0,1,0,0,0,64,2,1024,46111.6
0,1,0,0,0,128,2,4096,46368.8
0,1,0,1,0,128,8,256,46439.6
0,1,1,1,1,128,2,256,46463.2
0,1,1,1,1,64,32,1024,47233.2
0,1,0,0,0,64,32,256,46122.2
1,1,1,0,0,128,2,256,136797.8
1,1,0,0,0,64,2,256,132203.8
1,1,1,0,0,128,2,4096,133944.0
1,0,0,1,0,128,8,1024,136143.6
0,1,0,0,0,128,32,4096,46197.8
0,0,0,0,1,128,2,256,47198.6
0,1,0,1,1,128,2,4096,46322.4
0,0,0,0,0,128,32,256,46255.0
0,1,1,1,0,256,32,256,46431.0
0,0,1,0,1,128,8,256,46271.0
1,0,1,0,1,64,2,1024,131850.2
0,0,1,0,0,256,32,1024,46212.8
0,1,1,0,0,64,32,1024,46145.0
0,1,1,0,1,128,8,4096,46460.8
0,0,0,0,1,64,2,256,46337.0
0,0,0,0,0,128,32,1024,46582.2
0,1,0,1,0,64,32,256,46886.0
0,0,0,0,0,128,8,1024,46208.0
1,0,1,1,0,128,8,256,142638.0
1,1,0,1,0,64,2,1024,139402.4
0,0,0,0,1,128,2,1024,46113.2
0,0,0,0,0,64,2,256,46272.2
0,1,0,0,0,256,32,256,46178.0
